,,,,,
,,,,,
SYMBOL,NAME,MARKET CAP,,,
atvi,"Activision Blizzard, Inc. Common Stock","66,60,84,67,585",,,
adbe,Adobe Inc. Common Stock,"2,14,37,19,88,614",,,
amd,"Advanced Micro Devices, Inc. Common Stock","99,84,17,82,874",,,
alxn,"Alexion Pharmaceuticals, Inc. Common Stock","23,06,13,81,271",,,
algn,"Align Technology, Inc. Common Stock","22,71,18,37,108",,,
goog,Alphabet Inc. Class C Capital Stock,"9,96,41,93,20,366",,,
googl,Alphabet Inc. Class A Common Stock,"10,02,08,50,83,446",,,
amzn,"Amazon.com, Inc. Common Stock","15,72,20,74,63,248",,,
amgn,Amgen Inc. Common Stock,"1,42,66,91,46,652",,,
adi,"Analog Devices, Inc. Common Stock","43,23,40,79,522",,,
anss,"ANSYS, Inc. Common Stock","26,43,01,59,346",,,
aapl,Apple Inc. Common Stock,"18,75,54,96,10,440",,,
amat,"Applied Materials, Inc. Common Stock","59,43,36,82,151",,,
asml,ASML Holding N.V. New York Registry Shares,"1,54,94,10,76,248",,,
adsk,"Autodesk, Inc. Common Stock","52,58,52,92,648",,,
adp,"Automatic Data Processing, Inc. Common Stock","58,78,45,26,000",,,
bidu,"Baidu, Inc. ADS","43,65,88,67,554",,,
biib,Biogen Inc. Common Stock,"43,70,71,83,074",,,
bmrn,BioMarin Pharmaceutical Inc. Common Stock,"21,66,96,80,454",,,
bkng,Booking Holdings Inc. Common Stock,"68,56,45,96,943",,,
avgo,Broadcom Inc. Common Stock,"1,32,07,36,25,084",,,
cdns,"Cadence Design Systems, Inc. Common Stock","30,42,75,77,160",,,
cdw,CDW Corporation Common Stock,"17,00,98,58,356",,,
cern,Cerner Corporation Common Stock,"21,04,38,42,679",,,
chtr,"Charter Communications, Inc. Class A Common Stock New","1,22,94,15,55,192",,,
chkp,Check Point Software Technologies Ltd. Ordinary Shares,"17,29,64,85,350",,,
ctas,Cintas Corporation Common Stock,"31,21,94,41,980",,,
csco,"Cisco Systems, Inc. Common Stock","2,01,27,68,59,949",,,
ctxs,"Citrix Systems, Inc. Common Stock","17,60,89,99,860",,,
ctsh,Cognizant Technology Solutions Corporation Class A Common Stock,"36,82,89,91,197",,,
cmcsa,Comcast Corporation Class A Common Stock,"1,97,38,76,27,531",,,
cprt,"Copart, Inc. (DE) Common Stock","22,73,58,55,618",,,
cost,Costco Wholesale Corporation Common Stock,"1,50,02,53,41,761",,,
csx,CSX Corporation Common Stock,"54,13,51,18,367",,,
dxcm,"DexCom, Inc. Common Stock","42,30,75,23,851",,,
docu,"DocuSign, Inc. Common Stock","41,78,12,96,106",,,
dltr,Dollar Tree Inc. Common Stock,"22,75,05,86,585",,,
ebay,eBay Inc. Common Stock,"39,42,43,03,264",,,
ea,Electronic Arts Inc. Common Stock,"42,24,46,87,789",,,
exc,Exelon Corporation Common Stock,"37,75,83,04,110",,,
expe,"Expedia Group, Inc. Common Stock","11,26,14,17,616",,,
fb,"Facebook, Inc. Class A Common Stock","7,11,71,96,55,811",,,
fast,Fastenal Company Common Stock,"27,26,44,59,322",,,
fisv,"Fiserv, Inc. Common Stock","66,71,41,08,602",,,
fox,Fox Corporation Class B Common Stock,"16,12,53,78,321",,,
foxa,Fox Corporation Class A Common Stock,"16,10,12,29,495",,,
gild,"Gilead Sciences, Inc. Common Stock","88,90,99,86,592",,,
idxx,"IDEXX Laboratories, Inc. Common Stock","33,19,25,87,699",,,
ilmn,"Illumina, Inc. Common Stock","57,87,09,60,000",,,
incy,Incyte Corp. Common Stock,"21,72,64,76,727",,,
intc,Intel Corporation Common Stock,"2,08,94,98,90,000",,,
intu,Intuit Inc. Common Stock,"81,00,60,09,058",,,
isrg,"Intuitive Surgical, Inc. Common Stock","79,98,71,88,980",,,
jd,"JD.com, Inc. American Depositary Shares","1,00,41,54,90,142",,,
klac,KLA Corporation Common Stock,"31,76,95,18,381",,,
lrcx,Lam Research Corporation Common Stock,"55,94,66,21,760",,,
lbtya,Liberty Global plc Class A Ordinary Shares,"14,16,48,42,585",,,
lbtyk,Liberty Global plc Class C Ordinary Shares,"13,80,70,83,290",,,
lulu,lululemon athletica inc. Common Stock,"42,73,52,44,393",,,
mar,Marriott International Class A Common Stock,"27,91,84,35,401",,,
mxim,"Maxim Integrated Products, Inc. Common Stock","18,44,92,31,496",,,
meli,"MercadoLibre, Inc. Common Stock","58,35,60,07,473",,,
mchp,Microchip Technology Incorporated Common Stock,"27,09,28,82,164",,,
mu,"Micron Technology, Inc. Common Stock","56,99,42,21,614",,,
msft,Microsoft Corporation Common Stock,"16,14,10,46,94,506",,,
mrna,"Moderna, Inc. Common Stock","29,12,62,24,448",,,
mdlz,"Mondelez International, Inc. Class A Common Stock","79,38,70,45,160",,,
mnst,Monster Beverage Corporation,"41,07,72,25,812",,,
ntap,"NetApp, Inc. Common Stock","9,58,91,18,649",,,
ntes,"NetEase, Inc. American Depositary Shares","65,77,47,76,044",,,
nflx,"Netflix, Inc. Common Stock","2,24,75,91,10,371",,,
nvda,NVIDIA Corporation Common Stock,"2,76,20,26,50,000",,,
nxpi,NXP Semiconductors N.V. Common Stock,"33,76,09,99,594",,,
orly,"O'Reilly Automotive, Inc. Common Stock","35,03,93,23,213",,,
pcar,PACCAR Inc. Common Stock,"29,35,56,71,079",,,
payx,"Paychex, Inc. Common Stock","26,05,02,66,610",,,
pypl,"PayPal Holdings, Inc. Common Stock","2,31,52,72,43,219",,,
pep,"PepsiCo, Inc. Common Stock","1,90,34,54,76,790",,,
qcom,QUALCOMM Incorporated Common Stock,"1,25,18,10,97,722",,,
regn,"Regeneron Pharmaceuticals, Inc. Common Stock","66,52,58,32,770",,,
rost,"Ross Stores, Inc. Common Stock","31,45,63,51,980",,,
sgen,"Seattle Genetics, Inc. Common Stock","28,57,39,11,320",,,
siri,Sirius XM Holdings Inc. Common Stock,"25,69,45,15,048",,,
swks,"Skyworks Solutions, Inc. Common Stock","24,26,53,32,358",,,
splk,Splunk Inc. Common Stock,"33,50,38,73,920",,,
sbux,Starbucks Corporation Common Stock,"87,82,69,70,000",,,
snps,"Synopsys, Inc. Common Stock","30,43,67,00,508",,,
tmus,"T-Mobile US, Inc. Common Stock","1,34,27,33,83,614",,,
ttwo,"Take-Two Interactive Software, Inc. Common Stock","20,29,74,17,385",,,
tsla,"Tesla, Inc. Common Stock","2,77,11,98,86,562",,,
txn,Texas Instruments Incorporated Common Stock,"1,21,11,52,45,897",,,
khc,The Kraft Heinz Company Common Stock,"42,88,80,57,007",,,
tcom,Trip.com Group Limited American Depositary Shares,"16,47,54,77,488",,,
ulta,"Ulta Beauty, Inc. Common Stock","11,17,73,11,516",,,
vrsn,"VeriSign, Inc. Common Stock","24,62,23,32,562",,,
vrsk,"Verisk Analytics, Inc. Common Stock","30,45,92,80,317",,,
vrtx,Vertex Pharmaceuticals Incorporated Common Stock,"71,81,34,48,657",,,
wba,"Walgreens Boots Alliance, Inc. Common Stock","35,46,72,40,263",,,
wdc,Western Digital Corporation Common Stock,"13,41,46,18,192",,,
wday,"Workday, Inc. Class A Common Stock","42,65,01,50,000",,,
xel,Xcel Energy Inc. Common Stock,"36,73,71,87,319",,,
xlnx,"Xilinx, Inc. Common Stock","26,20,41,92,613",,,
zm,"Zoom Video Communications, Inc. Class A Common Stock","75,41,74,12,277",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
